,id,fecha,ciudad,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,maxima_semanal,minima_semanal,promedio_maximo,promedio_minimo,temperatura_media
0,04112022004948Salta ,04/Nov/2022,Salta ,"['Máx', '25°', '|', 'Mín', '14°']","['Máx', '25°', '|', 'Mín', '16°']","['Máx', '26°', '|', 'Mín', '16°']","['Máx', '26°', '|', 'Mín', '17°']","['Máx', '26°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '17°']","['Máx', '27°', '|', 'Mín', '20°']",Miércoles 9 : 27°,Viernes 4 : 14°,26,16,21.0
1,04112022004949San Salvador de Jujuy ,04/Nov/2022,San Salvador de Jujuy ,"['Máx', '25°', '|', 'Mín', '5°']","['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '9°']","['Máx', '29°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '31°', '|', 'Mín', '11°']","['Máx', '35°', '|', 'Mín', '12°']",Jueves 10 : 35°,,29,3,16.0
2,04112022004949Rosario ,04/Nov/2022,Rosario ,"['Máx', '25°', '|', 'Mín', '5°']","['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '9°']","['Máx', '29°', '|', 'Mín', '11°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '31°', '|', 'Mín', '11°']","['Máx', '35°', '|', 'Mín', '12°']",Jueves 10 : 35°,,29,3,16.0
3,04112022004950Córdoba ,04/Nov/2022,Córdoba ,"['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '8°']","['Máx', '30°', '|', 'Mín', '11°']","['Máx', '30°', '|', 'Mín', '12°']","['Máx', '27°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '29°', '|', 'Mín', '16°']",Miércoles 9 : 31°,,28,7,17.5
4,04112022004950Capital Federal ,04/Nov/2022,Capital Federal ,"['Máx', '27°', '|', 'Mín', '7°']","['Máx', '28°', '|', 'Mín', '8°']","['Máx', '30°', '|', 'Mín', '11°']","['Máx', '30°', '|', 'Mín', '12°']","['Máx', '27°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '29°', '|', 'Mín', '16°']",Miércoles 9 : 31°,,28,7,17.5
5,04112022004950Paraná ,04/Nov/2022,Paraná ,"['Máx', '29°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']",Miércoles 9 : 33°,Viernes 4 : 14°,31,15,23.0
6,04112022004951Posadas ,04/Nov/2022,Posadas ,"['Máx', '29°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '17°']","['Máx', '33°', '|', 'Mín', '18°']",Miércoles 9 : 33°,Viernes 4 : 14°,31,15,23.0
7,04112022004951Formosa ,04/Nov/2022,Formosa ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 13°,29,14,21.5
8,04112022004952Viedma ,04/Nov/2022,Viedma ,"['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '13°']","['Máx', '29°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '20°']",Lunes 7 : 30°,Viernes 4 : 13°,29,14,21.5
9,04112022004952Ushuaia ,04/Nov/2022,Ushuaia ,"['Máx', '28°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']",Lunes 7 : 31°,Viernes 4 : 12°,29,15,22.0
10,04112022004953Mendoza ,04/Nov/2022,Mendoza ,"['Máx', '28°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '17°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '19°']",Lunes 7 : 31°,Viernes 4 : 12°,29,15,22.0
